Level,Region,Dataset,Kind,Period,18/19,19/20,20/21,21/22,22/23,23/24,24/25,25/26,26/27
state,MT,Anidro Saidas Outras,flow,Nov (1),65,1193,11,237,85,11173,11377.0,2261,
state,MT,Anidro Saidas Outras,flow,Nov (2),190,1000,176,194,374,361,1734.0,1457,
state,MT,Anidro Saidas Outras,flow,Dec (1),23,203,54,150,230,94,1226.0,354,
state,MT,Anidro Saidas Outras,flow,Dec (2),389,413,206,26,329,934,1010.0,324,
state,MT,Anidro Saidas Outras,flow,Jan (1),19,782,174,187,55,49,1284.0,469,
state,MT,Anidro Saidas Outras,flow,Jan (2),4280,906,49,628,95,185,3949.0,289,
state,MT,Anidro Saidas Outras,flow,Feb (1),1044,273,362,51,35,90,7784.0,6558,
state,MT,Anidro Saidas Outras,flow,Feb (2),78,3006,24,104,154,9074,6939.0,3502,
state,MT,Anidro Saidas Outras,flow,Mar (1),3747,5036,4249,5069,51,78,5309.0,2142,
state,MT,Anidro Saidas Outras,flow,Mar (2),15455,215,6353,4352,2235,3444,14970.0,426,
state,MT,Cana,flow,Apr (1),202807,309422,381204,167319,66280,276057,157725.0,519979,616614.0
state,MT,Cana,flow,Apr (2),634315,717090,596425,418363,312763,709465,578640.0,714262,1049508.0
state,MT,Cana,flow,May (1),1096337,847773,852973,943121,779144,1177255,1131985.0,1272559,1154410.0
state,MT,Cana,flow,May (2),1098059,1274828,1268697,1283453,1186100,860409,1316317.0,1145464,1303217.0
state,MT,Cana,flow,Jun (1),1271046,1334980,1387688,1233690,1146655,1675550,1300930.0,1501362,1771132.0
state,MT,Cana,flow,Jun (2),1320333,1447569,1358252,1261847,1354015,1310283,1384146.0,1327480,1234375.0
state,MT,Cana,flow,Jul (1),1435511,1317884,1427047,1310194,1377290,1571499,1391238.0,1375931,1478759.0
state,MT,Cana,flow,Jul (2),1455608,1547885,1515571,1348362,1434126,1573166,1457349.0,1484028,1610687.0
state,MT,Cana,flow,Aug (1),1226997,1336670,1418194,1197289,1168849,1391464,1232786.0,1403146,
state,MT,Cana,flow,Aug (2),1329835,1468362,1427181,1273004,1354273,1440091,1527650.0,1438343,
state,MT,Cana,flow,Sep (1),1208939,1024927,1316862,1106772,1355886,1230871,1320108.0,1365860,
state,MT,Cana,flow,Sep (2),1102003,910057,1188364,1072344,1185726,1241930,1263373.0,1200604,
state,MT,Cana,flow,Oct (1),1074241,1846018,1033222,1021753,1034424,1294431,1151975.0,1223059,
state,MT,Cana,flow,Oct (2),1045132,1010191,845738,866064,889242,1132822,989174.0,1095618,
state,MT,Cana,flow,Nov (1),669407,783105,340995,565490,515502,557771,661408.0,758165,
state,MT,Cana,flow,Nov (2),472617,330945,304450,207700,388868,209065,353736.0,525316,
state,MT,Cana,flow,Dec (1),475315,31088,110331,15000,281086,0,264628.0,132566,
state,MT,Cana,flow,Dec (2),68476,0,0,0,46382,0,0.0,4191,
state,MT,Cana,flow,Jan (1),0,0,0,0,0,0,0.0,0,
state,MT,Cana,flow,Jan (2),0,0,0,0,0,0,0.0,0,
state,MT,Cana,flow,Feb (1),0,0,0,0,0,0,0.0,0,
state,MT,Cana,flow,Feb (2),0,0,0,0,0,0,0.0,0,
state,MT,Cana,flow,Mar (1),0,11181,0,0,0,11150,0.0,0,
state,MT,Cana,flow,Mar (2),161968,107690,0,0,0,14085,0.0,119487,
state,MT,Etanol Total,flow,Apr (1),38325,53408,98681,109738,139624,113133,185541.0,265826,281234.0
state,MT,Etanol Total,flow,Apr (2),69371,82454,138751,137293,93432,91508,231761.0,276467,319021.0
state,MT,Etanol Total,flow,May (1),100883,89949,134360,156858,239478,260957,268592.0,292932,301597.0
state,MT,Etanol Total,flow,May (2),92194,120805,133181,191612,210008,214315,301198.0,302196,340978.0
state,MT,Etanol Total,flow,Jun (1),99275,119276,154479,165897,208915,425159,296510.0,320942,376070.0
state,MT,Etanol Total,flow,Jun (2),110100,128687,159951,180400,224776,242448,305083.0,326781,330902.0
state,MT,Etanol Total,flow,Jul (1),112988,127775,170260,257616,230760,376344,312978.0,303922,351305.0
state,MT,Etanol Total,flow,Jul (2),118740,139548,191139,187556,247853,278929,349171.0,377868,376379.0
state,MT,Etanol Total,flow,Aug (1),111262,129059,175422,293689,202877,309002,319760.0,338029,
state,MT,Etanol Total,flow,Aug (2),118744,121108,197156,235418,220952,259155,366021.0,358530,
state,MT,Etanol Total,flow,Sep (1),112305,115868,198515,163168,266095,297707,341956.0,344392,
state,MT,Etanol Total,flow,Sep (2),103183,105251,197885,230301,201810,258457,332194.0,313297,
state,MT,Etanol Total,flow,Oct (1),94439,153361,179287,234177,187020,295667,320661.0,327714,
state,MT,Etanol Total,flow,Oct (2),93281,140012,172508,132161,213097,236655,326597.0,340304,
state,MT,Etanol Total,flow,Nov (1),70454,189785,111598,234825,159882,234783,267791.0,302711,
state,MT,Etanol Total,flow,Nov (2),53416,83559,119610,146109,158293,190684,269006.0,260067,
state,MT,Etanol Total,flow,Dec (1),52074,62328,106974,130580,161161,207751,259703.0,290259,
state,MT,Etanol Total,flow,Dec (2),38396,65064,103023,72903,144834,191903,262070.0,284936,
state,MT,Etanol Total,flow,Jan (1),31523,62380,98815,197460,127191,203566,234684.0,253951,
state,MT,Etanol Total,flow,Jan (2),35546,89475,102745,141020,138401,207334,253981.0,277093,
state,MT,Etanol Total,flow,Feb (1),26116,61300,102666,137070,154786,193296,240329.0,262994,
state,MT,Etanol Total,flow,Feb (2),29419,58642,30799,105316,100414,191609,209842.0,222652,
state,MT,Etanol Total,flow,Mar (1),42403,63687,145777,135628,178932,192269,224139.0,263889,
state,MT,Etanol Total,flow,Mar (2),49194,69189,124642,125679,132992,215478,267801.0,284993,
state,MT,Hidratado Entradas,flow,Apr (1),13419,45522,56568,110232,91788,91671,147735.0,133810,122590.0
state,MT,Hidratado Entradas,flow,Apr (2),2,5010,6394,77,1176,0,6485.0,11477,14556.0
state,MT,Hidratado Entradas,flow,May (1),108,340,0,0,10398,336,6822.0,59,12530.0
state,MT,Hidratado Entradas,flow,May (2),-64,0,0,100,20,44,7149.0,592,13234.0
state,MT,Hidratado Entradas,flow,Jun (1),311,0,0,0,0,280,6691.0,418,6855.0
state,MT,Hidratado Entradas,flow,Jun (2),0,0,0,59,130,1559,6539.0,2872,7731.0
state,MT,Hidratado Entradas,flow,Jul (1),0,2,0,0,104,59,7747.0,6713,10574.0
state,MT,Hidratado Entradas,flow,Jul (2),0,50,154,25,164,61,7440.0,8053,19917.0
state,MT,Hidratado Entradas,flow,Aug (1),0,0,0,0,57,196,7075.0,8506,
state,MT,Hidratado Entradas,flow,Aug (2),0,0,0,0,226,60,9268.0,8141,
state,MT,Hidratado Entradas,flow,Sep (1),6,0,0,123,34,35,6444.0,7895,
state,MT,Hidratado Entradas,flow,Sep (2),0,0,0,0,1100,264,6872.0,6875,
state,MT,Hidratado Entradas,flow,Oct (1),0,277,0,0,563,121,6745.0,8864,
state,MT,Hidratado Entradas,flow,Oct (2),61,484,0,13,67,3138,7078.0,8171,
state,MT,Hidratado Entradas,flow,Nov (1),0,2027,0,0,146,248,7284.0,9900,
state,MT,Hidratado Entradas,flow,Nov (2),120,1026,0,659,264,319,6229.0,10359,
state,MT,Hidratado Entradas,flow,Dec (1),0,143,0,3357,250,535,5687.0,75567,
state,MT,Hidratado Entradas,flow,Dec (2),278,661,2,0,48,3000,1134.0,9563,
state,MT,Hidratado Entradas,flow,Jan (1),0,789,0,3434,25,210,989.0,4044,
state,MT,Hidratado Entradas,flow,Jan (2),4134,1142,144,1664,61,0,391.0,9371,
state,MT,Hidratado Entradas,flow,Feb (1),1050,0,63,295,17,116,6664.0,-45517,
state,MT,Hidratado Entradas,flow,Feb (2),0,0,1,0,0,30389,5517.0,14335,
state,MT,Hidratado Entradas,flow,Mar (1),3726,5013,4485,5282,0,7465,4669.0,9532,
state,MT,Hidratado Entradas,flow,Mar (2),6076,130,6521,7065,2305,10766,15250.0,6238,
state,MT,Hidratado Estoque E.Disp,stock,Apr (1),11960,23316,62337,83003,75206,69790,101284.0,105389,88323.0
state,MT,Hidratado Estoque E.Disp,stock,Apr (2),29090,16708,85041,76020,55178,70577,77864.0,84199,138361.0
state,MT,Hidratado Estoque E.Disp,stock,May (1),38808,23934,99715,97401,112085,145663,103227.0,116849,177683.0
state,MT,Hidratado Estoque E.Disp,stock,May (2),53403,35715,95672,116581,127542,139004,99944.0,79044,188341.0
state,MT,Hidratado Estoque E.Disp,stock,Jun (1),53820,39530,118200,135660,146979,140432,120598.0,142311,197380.0
state,MT,Hidratado Estoque E.Disp,stock,Jun (2),69935,57232,117213,143954,167262,128608,140609.0,114495,198874.0
state,MT,Hidratado Estoque E.Disp,stock,Jul (1),81925,84374,135406,164762,183287,191972,171078.0,133261,223572.0
state,MT,Hidratado Estoque E.Disp,stock,Jul (2),97098,100313,171936,172783,204618,222350,184983.0,154406,242138.0
state,MT,Hidratado Estoque E.Disp,stock,Aug (1),112439,127694,199125,178625,233548,240779,215154.0,170604,
state,MT,Hidratado Estoque E.Disp,stock,Aug (2),135330,151130,232927,219770,250249,245674,251053.0,180121,
state,MT,Hidratado Estoque E.Disp,stock,Sep (1),148642,177746,248344,250067,305890,263073,309954.0,193318,
state,MT,Hidratado Estoque E.Disp,stock,Sep (2),169033,191662,267559,283094,288991,260505,311523.0,187616,
state,MT,Hidratado Estoque E.Disp,stock,Oct (1),180324,215699,292450,257697,275437,289740,312566.0,193634,
state,MT,Hidratado Estoque E.Disp,stock,Oct (2),184514,219328,299305,269386,279197,320058,319079.0,185020,
state,MT,Hidratado Estoque E.Disp,stock,Nov (1),191131,222606,277630,302275,282305,324847,299503.0,210289,
state,MT,Hidratado Estoque E.Disp,stock,Nov (2),182217,208024,265226,298177,279321,300493,279349.0,216121,
state,MT,Hidratado Estoque E.Disp,stock,Dec (1),188508,173402,240311,282930,272686,315321,298419.0,206887,
state,MT,Hidratado Estoque E.Disp,stock,Dec (2),184231,140431,207293,261037,247082,264773,231927.0,204413,
state,MT,Hidratado Estoque E.Disp,stock,Jan (1),161662,112755,196106,215652,236280,233669,223957.0,180127,
state,MT,Hidratado Estoque E.Disp,stock,Jan (2),140289,91852,159555,226738,214518,174777,171008.0,132152,
state,MT,Hidratado Estoque E.Disp,stock,Feb (1),113385,62548,125487,206126,178387,156315,158517.0,136923,
state,MT,Hidratado Estoque E.Disp,stock,Feb (2),78325,38255,94553,177243,124353,131151,116885.0,127503,
state,MT,Hidratado Estoque E.Disp,stock,Mar (1),51027,36529,83945,130860,125636,118999,115440.0,129738,
state,MT,Hidratado Estoque E.Disp,stock,Mar (2),29761,49674,85728,64931,76694,105312,111501.0,104831,
state,MT,Hidratado Estoque E.Fisico,stock,Apr (1),12964,27009,68580,90348,99139,107467,113438.0,120788,93032.0
state,MT,Hidratado Estoque E.Fisico,stock,Apr (2),34361,22176,89202,78271,74488,114586,90880.0,102494,140589.0
state,MT,Hidratado Estoque E.Fisico,stock,May (1),50619,31483,106870,99450,132898,168422,114949.0,132103,179874.0
state,MT,Hidratado Estoque E.Fisico,stock,May (2),69862,44322,113788,127409,155740,165790,112524.0,93254,190826.0
state,MT,Hidratado Estoque E.Fisico,stock,Jun (1),71923,51037,145099,150255,184977,171310,133456.0,158583,204221.0
state,MT,Hidratado Estoque E.Fisico,stock,Jun (2),96983,66535,150757,166886,212963,162601,155125.0,133736,203551.0
state,MT,Hidratado Estoque E.Fisico,stock,Jul (1),115739,92613,178733,191642,228543,233622,191778.0,150013,228410.0
state,MT,Hidratado Estoque E.Fisico,stock,Jul (2),132521,119596,221529,204899,252795,265838,214992.0,177516,244498.0
state,MT,Hidratado Estoque E.Fisico,stock,Aug (1),149970,155969,253218,219904,280798,286871,250105.0,193126,
state,MT,Hidratado Estoque E.Fisico,stock,Aug (2),173173,185931,296781,270978,303539,289811,283873.0,206876,
state,MT,Hidratado Estoque E.Fisico,stock,Sep (1),191385,221756,320850,307033,362650,313153,349073.0,222633,
state,MT,Hidratado Estoque E.Fisico,stock,Sep (2),225972,239616,343575,341103,347474,317865,358237.0,218220,
state,MT,Hidratado Estoque E.Fisico,stock,Oct (1),236462,269904,370504,321987,337154,345356,364595.0,228243,
state,MT,Hidratado Estoque E.Fisico,stock,Oct (2),243669,267876,380086,335194,343800,374660,370417.0,225400,
state,MT,Hidratado Estoque E.Fisico,stock,Nov (1),246320,268391,367980,365515,347654,380602,349358.0,256424,
state,MT,Hidratado Estoque E.Fisico,stock,Nov (2),237193,245620,337984,362375,342575,353546,326317.0,264027,
state,MT,Hidratado Estoque E.Fisico,stock,Dec (1),238299,206358,307688,342747,333424,361592,344030.0,302621,
state,MT,Hidratado Estoque E.Fisico,stock,Dec (2),219318,164655,270531,315049,296682,306086,261313.0,288544,
state,MT,Hidratado Estoque E.Fisico,stock,Jan (1),189530,135694,248407,265496,281907,274883,247770.0,261640,
state,MT,Hidratado Estoque E.Fisico,stock,Jan (2),169659,110648,205450,272361,253630,207197,187215.0,210591,
state,MT,Hidratado Estoque E.Fisico,stock,Feb (1),141028,77583,163327,243734,212329,185401,185119.0,152682,
state,MT,Hidratado Estoque E.Fisico,stock,Feb (2),100761,46924,130255,208418,146786,155435,136501.0,137036,
state,MT,Hidratado Estoque E.Fisico,stock,Mar (1),68388,44129,107287,164148,145005,135452,135979.0,134486,
state,MT,Hidratado Estoque E.Fisico,stock,Mar (2),35497,54065,103852,91665,91261,118107,128422.0,107379,
state,MT,Hidratado Producao,flow,Apr (1),28063,45685,72342,92948,102049,57699,139906.0,200723,170759.0
state,MT,Hidratado Producao,flow,Apr (2),50730,65431,85470,108896,86246,59805,170317.0,196650,209717.0
state,MT,Hidratado Producao,flow,May (1),53098,62778,102066,130678,181053,160647,185776.0,203066,171253.0
state,MT,Hidratado Producao,flow,May (2),49870,74339,105402,127205,140285,147514,187657.0,179076,189068.0
state,MT,Hidratado Producao,flow,Jun (1),56019,62929,117974,100619,121368,290450,193708.0,216305,208892.0
state,MT,Hidratado Producao,flow,Jun (2),61100,68629,102236,108666,125223,149502,206525.0,211775,164663.0
state,MT,Hidratado Producao,flow,Jul (1),54919,75353,116283,174279,138479,193181,205529.0,197734,187232.0
state,MT,Hidratado Producao,flow,Jul (2),61242,88019,144750,117483,137044,166224,233945.0,233521,196563.0
state,MT,Hidratado Producao,flow,Aug (1),62735,91295,119144,175204,127818,164285,204978.0,199598,
state,MT,Hidratado Producao,flow,Aug (2),76754,93760,135599,161063,137959,176206,240867.0,213897,
state,MT,Hidratado Producao,flow,Sep (1),67187,81357,120266,89719,166983,156595,232804.0,197484,
state,MT,Hidratado Producao,flow,Sep (2),73463,77455,133409,157484,113655,167224,216724.0,171878,
state,MT,Hidratado Producao,flow,Oct (1),64221,106972,120134,137309,106338,176070,209959.0,177885,
state,MT,Hidratado Producao,flow,Oct (2),61956,103097,130142,85579,119145,190689,218854.0,189908,
state,MT,Hidratado Producao,flow,Nov (1),45611,155100,76881,181765,93642,151973,171359.0,184656,
state,MT,Hidratado Producao,flow,Nov (2),38043,60423,71614,92817,99178,149563,181582.0,159088,
state,MT,Hidratado Producao,flow,Dec (1),44873,38456,83899,97074,80646,175834,185027.0,160212,
state,MT,Hidratado Producao,flow,Dec (2),30284,43971,78953,39324,87844,148826,171291.0,167583,
state,MT,Hidratado Producao,flow,Jan (1),16736,36719,78248,150332,62271,126479,145573.0,133959,
state,MT,Hidratado Producao,flow,Jan (2),17187,68476,69629,106653,79263,131602,142776.0,143444,
state,MT,Hidratado Producao,flow,Feb (1),22840,42752,74674,91432,84427,128745,146638.0,145493,
state,MT,Hidratado Producao,flow,Feb (2),21117,49814,24870,81482,61801,138414,146580.0,128351,
state,MT,Hidratado Producao,flow,Mar (1),30215,52193,123415,93093,108217,137698,160575.0,153369,
state,MT,Hidratado Producao,flow,Mar (2),41529,60082,97007,90063,86912,174727,197912.0,160957,
state,MT,Hidratado Saidas Distrib,flow,Apr (1),28320,64068,60152,112597,94482,41775,157507.0,204020,183022.0
state,MT,Hidratado Saidas Distrib,flow,Apr (2),29043,74446,70971,120508,111493,52447,180263.0,213760,165601.0
state,MT,Hidratado Saidas Distrib,flow,May (1),36671,53653,84143,109272,132345,96695,146617.0,171231,130882.0
state,MT,Hidratado Saidas Distrib,flow,May (2),30206,61172,98242,98958,116468,144694,177812.0,210086,178813.0
state,MT,Hidratado Saidas Distrib,flow,Jun (1),54070,55984,86371,77477,90486,261640,162617.0,145405,190508.0
state,MT,Hidratado Saidas Distrib,flow,Jun (2),35774,52843,96005,91631,96824,154836,177629.0,221280,161762.0
state,MT,Hidratado Saidas Distrib,flow,Jul (1),35956,49054,88070,148943,122107,109760,163792.0,152144,154032.0
state,MT,Hidratado Saidas Distrib,flow,Jul (2),44165,60769,101823,103732,112039,122931,205503.0,190491,177373.0
state,MT,Hidratado Saidas Distrib,flow,Aug (1),45145,54758,87221,159697,99019,126440,159831.0,175486,
state,MT,Hidratado Saidas Distrib,flow,Aug (2),53272,63346,91561,109089,114195,155656,202069.0,185832,
state,MT,Hidratado Saidas Distrib,flow,Sep (1),48762,45371,95950,53495,107520,125556,151265.0,167435,
state,MT,Hidratado Saidas Distrib,flow,Sep (2),38592,59353,110169,122980,129199,155637,206060.0,168022,
state,MT,Hidratado Saidas Distrib,flow,Oct (1),53511,76636,92946,155793,116922,142197,195200.0,161679,
state,MT,Hidratado Saidas Distrib,flow,Oct (2),54487,104847,120200,72038,109110,158157,202888.0,178598,
state,MT,Hidratado Saidas Distrib,flow,Nov (1),42751,155153,88807,150770,89414,139590,189348.0,147548,
state,MT,Hidratado Saidas Distrib,flow,Nov (2),46986,83313,101184,95802,103195,169569,197910.0,148303,
state,MT,Hidratado Saidas Distrib,flow,Dec (1),43531,77259,113995,117986,87137,160895,167305.0,180598,
state,MT,Hidratado Saidas Distrib,flow,Dec (2),41369,84483,115697,66801,118988,195591,246250.0,174114,
state,MT,Hidratado Saidas Distrib,flow,Jan (1),46385,66311,100209,202252,72099,143974,155269.0,158202,
state,MT,Hidratado Saidas Distrib,flow,Jan (2),45749,94345,112550,100803,100486,191008,201239.0,192293,
state,MT,Hidratado Saidas Distrib,flow,Feb (1),52344,75540,116572,120071,123236,144248,148463.0,151271,
state,MT,Hidratado Saidas Distrib,flow,Feb (2),61165,80147,57738,115926,120281,164067,195049.0,145873,
state,MT,Hidratado Saidas Distrib,flow,Mar (1),66133,59810,150480,142404,102997,150997,159278.0,157520,
state,MT,Hidratado Saidas Distrib,flow,Mar (2),70811,49914,106437,161288,135723,184309,214614.0,183898,
state,MT,Hidratado Saidas M.Ext,flow,Apr (1),0,0,0,0,0,0,280.0,0,0.0
state,MT,Hidratado Saidas M.Ext,flow,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,MT,Hidratado Saidas M.Ext,flow,May (1),0,0,0,0,0,4008,0.0,1677,0.0
state,MT,Hidratado Saidas M.Ext,flow,May (2),0,0,49,76,0,0,0.0,6782,0.0
state,MT,Hidratado Saidas M.Ext,flow,Jun (1),0,0,25,0,0,1684,0.0,5489,3986.0
state,MT,Hidratado Saidas M.Ext,flow,Jun (2),0,0,0,0,0,0,67.0,6600,2969.0
state,MT,Hidratado Saidas M.Ext,flow,Jul (1),0,0,0,0,0,0,0.0,3079,8314.0
state,MT,Hidratado Saidas M.Ext,flow,Jul (2),0,0,0,0,0,0,0.0,6607,5646.0
state,MT,Hidratado Saidas M.Ext,flow,Aug (1),0,0,0,0,0,0,0.0,0,
state,MT,Hidratado Saidas M.Ext,flow,Aug (2),0,0,0,0,0,0,20.0,8030,
state,MT,Hidratado Saidas M.Ext,flow,Sep (1),0,0,0,0,0,0,0.0,7266,
state,MT,Hidratado Saidas M.Ext,flow,Sep (2),0,0,0,0,0,0,0.0,4258,
state,MT,Hidratado Saidas M.Ext,flow,Oct (1),0,0,0,0,0,-1684,4812.0,6978,
state,MT,Hidratado Saidas M.Ext,flow,Oct (2),0,57,0,0,122,0,7794.0,8671,
state,MT,Hidratado Saidas M.Ext,flow,Nov (1),0,-57,0,0,0,0,2329.0,6119,
state,MT,Hidratado Saidas M.Ext,flow,Nov (2),0,0,0,0,0,0,4916.0,0,
state,MT,Hidratado Saidas M.Ext,flow,Dec (1),0,0,0,0,0,0,0.0,508,
state,MT,Hidratado Saidas M.Ext,flow,Dec (2),0,0,33,0,0,0,0.0,4263,
state,MT,Hidratado Saidas M.Ext,flow,Jan (1),0,0,0,0,3125,0,0.0,1345,
state,MT,Hidratado Saidas M.Ext,flow,Jan (2),0,0,-33,0,0,0,785.0,2540,
state,MT,Hidratado Saidas M.Ext,flow,Feb (1),0,0,0,0,0,0,4429.0,0,
state,MT,Hidratado Saidas M.Ext,flow,Feb (2),0,0,0,0,3972,0,416.0,0,
state,MT,Hidratado Saidas M.Ext,flow,Mar (1),0,0,0,0,0,0,0.0,0,
state,MT,Hidratado Saidas M.Ext,flow,Mar (2),0,0,0,0,0,0,0.0,0,
state,MT,Hidratado Saidas Outras,flow,Apr (1),198,130,178,235,216,128,16416.0,9725,17295.0
state,MT,Hidratado Saidas Outras,flow,Apr (2),292,828,271,542,580,239,19097.0,12661,11115.0
state,MT,Hidratado Saidas Outras,flow,May (1),277,158,255,227,696,6444,21912.0,608,13616.0
state,MT,Hidratado Saidas Outras,flow,May (2),357,328,193,312,995,5496,19419.0,1649,12537.0
state,MT,Hidratado Saidas Outras,flow,Jun (1),199,230,267,296,1645,21886,16850.0,500,7858.0
state,MT,Hidratado Saidas Outras,flow,Jun (2),266,288,573,463,543,4934,13699.0,11614,8333.0
state,MT,Hidratado Saidas Outras,flow,Jul (1),207,223,237,580,896,12459,12831.0,32947,10601.0
state,MT,Hidratado Saidas Outras,flow,Jul (2),295,317,285,519,917,11138,12668.0,16973,17373.0
state,MT,Hidratado Saidas Outras,flow,Aug (1),141,164,234,502,853,17008,17109.0,17008,
state,MT,Hidratado Saidas Outras,flow,Aug (2),279,452,475,900,1249,17670,14278.0,14426,
state,MT,Hidratado Saidas Outras,flow,Sep (1),219,161,247,292,386,7732,22783.0,14921,
state,MT,Hidratado Saidas Outras,flow,Sep (2),284,242,515,434,732,7139,8372.0,10886,
state,MT,Hidratado Saidas Outras,flow,Oct (1),220,325,259,632,299,8187,10334.0,8069,
state,MT,Hidratado Saidas Outras,flow,Oct (2),323,705,360,347,3334,6366,9428.0,13653,
state,MT,Hidratado Saidas Outras,flow,Nov (1),209,1516,180,674,520,6689,8025.0,9865,
state,MT,Hidratado Saidas Outras,flow,Nov (2),304,907,426,814,1326,7369,8026.0,13541,
state,MT,Hidratado Saidas Outras,flow,Dec (1),236,602,200,2073,2910,7428,5696.0,16079,
state,MT,Hidratado Saidas Outras,flow,Dec (2),8174,1852,382,221,5646,11741,8892.0,12846,
state,MT,Hidratado Saidas Outras,flow,Jan (1),139,158,163,1067,1847,13918,4836.0,5360,
state,MT,Hidratado Saidas Outras,flow,Jan (2),-4557,319,213,649,7115,8280,1698.0,9031,
state,MT,Hidratado Saidas Outras,flow,Feb (1),177,277,288,283,2509,6409,2506.0,6614,
state,MT,Hidratado Saidas Outras,flow,Feb (2),219,326,205,872,3091,34702,5250.0,12459,
state,MT,Hidratado Saidas Outras,flow,Mar (1),181,191,388,241,7001,14149,6488.0,7931,
state,MT,Hidratado Saidas Outras,flow,Mar (2),9685,362,526,8323,7238,18529,6105.0,10404,
state,PA,Acucar,flow,Apr (1),0,0,0,0,0,0,0.0,0,0.0
state,PA,Acucar,flow,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,PA,Acucar,flow,May (1),0,0,0,0,0,0,0.0,0,0.0
state,PA,Acucar,flow,May (2),0,0,0,0,1253,223,0.0,0,0.0
state,PA,Acucar,flow,Jun (1),417,2624,2030,1573,2143,5439,4697.0,3317,6771.0
state,PA,Acucar,flow,Jun (2),4023,2796,3845,5249,5023,6938,7448.0,5094,6572.0
state,PA,Acucar,flow,Jul (1),3362,3902,3034,4400,4347,6436,5182.0,6294,6655.0
state,PA,Acucar,flow,Jul (2),3044,4334,4391,6118,5709,7198,7086.0,7450,8161.0
state,PA,Acucar,flow,Aug (1),3387,3793,5232,3852,4138,4168,7910.0,7011,
state,PA,Acucar,flow,Aug (2),3096,5469,5483,5260,5555,6714,6760.0,9905,
state,PA,Acucar,flow,Sep (1),4294,3016,5169,4880,7696,6728,7052.0,7643,
state,PA,Acucar,flow,Sep (2),3462,5012,4663,3589,5428,7174,6277.0,7217,
state,PA,Acucar,flow,Oct (1),4515,4934,5043,5376,5740,7200,5657.0,6445,
state,PA,Acucar,flow,Oct (2),5032,5506,6226,4063,7244,6519,5955.0,8860,
state,PA,Acucar,flow,Nov (1),3962,4773,3191,2111,4228,5689,5052.0,7173,
state,PA,Acucar,flow,Nov (2),3850,4569,1731,2775,1750,3454,5529.0,6740,
state,PA,Acucar,flow,Dec (1),964,4492,870,974,0,0,3310.0,5445,
state,PA,Acucar,flow,Dec (2),2065,389,0,1124,0,0,1202.0,708,
state,PA,Acucar,flow,Jan (1),1536,0,0,228,0,0,0.0,0,
state,PA,Acucar,flow,Jan (2),25,0,0,0,0,0,0.0,0,
state,PA,Acucar,flow,Feb (1),0,0,0,0,0,0,0.0,0,
state,PA,Acucar,flow,Feb (2),0,0,0,0,0,0,0.0,0,
state,PA,Acucar,flow,Mar (1),0,0,0,0,0,0,0.0,0,
state,PA,Acucar,flow,Mar (2),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Apr (1),8265,5373,5941,5887,6442,4239,3294.0,6838,5478.0
state,PA,Anidro Entradas,flow,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,PA,Anidro Entradas,flow,May (1),0,0,0,0,0,0,0.0,0,0.0
state,PA,Anidro Entradas,flow,May (2),0,0,0,0,0,0,0.0,0,0.0
state,PA,Anidro Entradas,flow,Jun (1),0,0,0,0,0,0,0.0,0,0.0
state,PA,Anidro Entradas,flow,Jun (2),0,0,0,0,0,0,0.0,0,0.0
state,PA,Anidro Entradas,flow,Jul (1),0,0,0,0,0,0,0.0,0,0.0
state,PA,Anidro Entradas,flow,Jul (2),0,0,0,0,0,0,0.0,0,0.0
state,PA,Anidro Entradas,flow,Aug (1),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Aug (2),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Sep (1),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Sep (2),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Oct (1),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Oct (2),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Nov (1),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Nov (2),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Dec (1),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Dec (2),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Jan (1),0,0,0,153,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Jan (2),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Feb (1),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Feb (2),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Mar (1),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Entradas,flow,Mar (2),0,0,0,0,0,0,0.0,0,
state,PA,Anidro Estoque E.Disp,stock,Apr (1),4719,1741,2804,3106,3155,2018,242.0,2864,2940.0
state,PA,Anidro Estoque E.Disp,stock,Apr (2),1971,1206,1077,1526,2146,887,10.0,1465,2945.0
